sea_surface_temperature,lat,lon
0.67205507,4.510693,0.6848863
-1.8299308,-3.890076,-0.25428903
0.7913547,-6.545031,0.1452636
-0.64853716,-3.049924,-0.25238043
-0.646117,-5.8550706,-1.5938851
-0.94934934,-5.7103176,-0.2165928
0.041101538,-6.0934277,-0.5566968
-1.6370274,2.4980736,0.91807413
-1.9253218,-4.091627,0.21974404
-0.3166474,-3.1572688,-0.72945595
1.1591977,4.2611966,0.820564
0.6887013,0.5973982,-0.5613895
-1.9469696,-3.9964333,-0.13463444
-0.16779132,-2.1973982,-1.2760959
-1.0925689,-5.898367,-0.13928793
0.24654342,-0.21707131,-1.1473243
-0.6705414,-5.9510846,-0.375944
-1.3512224,-5.6717525,0.21645086
0.17744529,-1.1473542,-2.2005928
0.10612483,-6.1933208,-0.5218264
0.43780813,0.9761377,-0.97759426
0.36917195,-1.6430023,-0.2711391
-1.0370095,-5.7694817,0.035080004
-0.0069070496,-3.563461,-2.1640787
-1.0847785,-5.863659,-0.19227228
0.27945986,-3.3246791,-0.76166487
0.7266342,-3.6917496,-1.2768406
2.6273475,1.3557762,0.38097605
-0.7895723,-4.052728,-0.39763433
0.37871882,-2.1372364,-0.37880695
-0.35132462,-6.215252,-0.0061753555
1.2458255,1.3563383,0.9952932
-1.5175003,-3.3327982,-2.6180692
-2.0614908,-2.630708,-2.205049
4.219162,-0.4722561,0.118691556
-0.09082903,-6.495091,0.0039798077
0.4560429,-2.8235795,-0.38248366
-0.54050595,-4.0750875,-0.68407995
2.9077864,1.9672923,1.2333752
-0.9537467,-5.4888444,-0.29625842
-0.13212363,-6.4333744,-0.28967285
0.64051855,-1.3851831,-1.4227241
-0.3481739,-6.305259,-0.097503416
-0.88235724,3.510413,0.7400402
1.1965362,-1.0453199,-1.2007552
-2.3926392,-3.7525692,-0.33331683
2.31467,-1.7908463,0.3389749
-0.31781653,-3.832526,1.0208623
-0.09419981,-6.408829,-0.21020894
-0.38277465,-5.9053273,-0.43919703
-0.6632175,-4.664448,-0.31847343
-1.1117091,-5.516077,0.10207333
0.057088956,-6.1664977,-0.35768083
-1.0037913,-6.641746,1.1010337
2.014076,-0.6177706,-0.8116587
-1.0806825,-5.731001,0.080941506
-0.5169674,-3.3724365,-0.35551453
1.6350739,3.3324344,0.9055168
-1.6358966,7.1513786,-1.3954148
-1.0211593,-4.579867,-0.8278224
-0.4559977,-6.1950083,-0.091441244
1.7294536,1.7284633,0.3987119
-0.89775723,3.7991514,-0.004345607
1.4483896,3.5113575,0.76856065
2.7379174,1.5724181,1.5111244
1.8748251,2.4671779,1.0735321
0.65912384,-5.203548,-2.2069705
-0.91564786,-4.0467362,-0.7093671
-1.1397403,-3.7902184,-2.072683
0.69445384,0.5659317,0.5918966
0.75711113,-6.5306835,0.16515869
-2.071679,1.7825997,1.6259569
-0.8438099,-5.4491444,-0.47845653
-0.01642846,-6.00611,-0.53669703
0.9522238,4.174764,0.76791275
-0.75898963,-4.7699366,-0.605675
-0.65886587,-3.0340967,-0.25787863
-0.9863509,-4.5170727,-0.12988672
-0.94515795,-5.496701,-0.2969903
-0.67713785,-6.024097,-0.43115252
0.0023448411,-6.5633965,-0.04797149
0.5224128,-3.3891902,-2.547349
1.469925,1.7760388,0.7248034
-1.909041,2.2424114,-0.10618613
-0.89946884,-5.6839657,-0.08427187
-0.13416572,0.075881764,-0.41804338
-1.6021696,2.9167404,-0.47655994
0.5901594,-1.1463704,-0.6211289
-1.8289195,-3.0751836,-1.858976
0.012057474,-6.549478,-0.07160233
1.5948956,3.1467996,0.83623713
-1.0746334,-5.839521,-0.052784882
-0.049588844,-6.5373216,-0.08927046
-0.99172825,-5.7735753,-0.015928166
-0.5582749,-6.1859517,-0.2292212
2.3763251,2.370641,1.3891556
-0.0027034916,-3.1150796,-0.637637
1.5327483,3.9115582,0.6031935
-2.4991083,-2.402028,0.93192214
-0.2092766,-6.42763,0.22998497
-1.0732147,-3.9772816,-0.87225586
-1.3472478,-5.6941576,0.23488039
-0.053077057,-6.2406178,-0.69691634
0.16942123,-2.8878598,-3.164921
0.09424349,-0.11081326,-0.8719102
-0.7955156,-6.1088905,-0.234979
-1.3047615,2.9918938,-2.5329595
-0.7318782,-5.5624003,-0.37324697
-1.1092684,-5.7714205,-0.09019175
0.8995267,-6.103541,-0.6235589
-0.829851,6.914087,-0.3840159
-0.11312616,-5.2027516,-0.38440627
-1.0718579,-5.7445717,-0.25045866
-0.14145389,-6.2108574,-0.26380944
-0.5164538,-4.7920184,-1.9928188
0.054194108,-6.2733307,-1.4098622
-1.5398042,-2.509535,0.47592613
-1.0091728,-3.3164911,-2.2747374
-0.14283638,-6.138357,-1.3855047
1.633399,2.214993,0.8052217
-1.2808295,3.5803576,1.5021408
0.6689203,-4.388749,0.06667663
-1.1169646,-5.727128,-0.17697322
-0.123509705,-6.6658297,-0.7509668
-1.6038169,-2.8742654,-0.74227273
1.6777418,0.64188683,-1.7023995
-2.3913937,-3.1576948,-1.0257657
-0.9158001,-5.431704,-0.5106291
0.081629135,-6.0241947,-0.079973236
-1.6164467,-2.9136405,-1.7613491
-1.055987,-5.8240104,-0.26071262
-1.9057517,-3.2709746,-0.9162652
-0.96350473,-5.8341255,-0.26316434
-1.3314599,-5.682385,0.20732084
-0.93465537,4.007402,1.2980564
2.218013,-0.37134537,0.11046768
0.56290746,1.1361016,-0.45445865
-2.5436108,-3.9101374,-0.5155383
-0.476086,-4.5720706,-2.0589807
-0.303177,0.14298911,0.49859563
2.57243,1.9149735,0.2632347
-1.3475622,-3.6569614,-2.0066197
0.8065881,-3.6656787,-1.4105808
-1.3630483,-5.731432,-0.046231013
-2.1966922,-3.0801551,0.32205406
-2.8499508,2.606014,-0.5446876
-0.5998601,-3.825882,-0.090022705
1.03386,4.3094525,-0.1894903
0.44831148,0.01438218,0.38451824
1.8019578,-0.035019867,0.03609243
0.012605621,-6.5497527,-0.07187639
0.79116434,-6.545014,0.14543632
-2.0258932,2.073693,-0.5130194
1.7793989,-1.0178766,-0.7481744
2.422358,-5.4078526,-0.7299162
-1.023825,-5.7576885,-0.25283563
-0.119628005,-1.4899747,-1.8629903
-0.014913294,-3.5309472,-1.9830724
-1.8647318,2.653579,0.28104955
0.9356342,1.1341525,3.016487
0.89004266,-5.0910296,-0.8241474
0.26303566,-6.2948236,-0.43982717
0.8571787,1.202521,-1.0082736
-1.8101587,2.6192508,-0.8025665
0.0642351,-6.089874,-0.44145122
-0.43090206,-5.507927,-0.9057243
-1.7112792,-3.885904,0.07217749
-2.0933332,-3.6660306,-0.33331597
-0.13301067,-3.8035579,-2.5837212
1.9256321,3.1209152,1.173674
-3.436951,-2.5768368,0.7696436
-0.023443561,-6.562871,0.11922532
1.5075122,3.4105117,0.8746898
-2.7625847,1.6886618,0.41599378
-0.40103126,4.961876,0.7523211
-0.80191404,-5.5728245,-0.3446239
0.66536206,-0.6157633,-1.1596166
-0.10468039,-6.20492,-0.1810901
0.1902402,-0.097985044,-1.13722
1.7671105,2.576629,1.2332859
1.4245577,3.6328692,0.90966964
0.6618569,1.0059958,3.1249347
0.70275784,1.0837704,1.1704345
-1.0652612,-3.4139817,-1.1194577
-1.3944132,3.0398273,-1.0251454
-1.661403,-3.5284903,-2.3495083
